recordId	entityType
FRAN_NP_000006	corporateBody
FRAN_NP_000023	corporateBody
FRAN_NP_000025	corporateBody
FRAN_NP_000030	corporateBody
FRAN_NP_000034	corporateBody
FRAN_NP_000040	corporateBody
FRAN_NP_000048	corporateBody
FRAN_NP_000066	corporateBody
FRAN_NP_000078	corporateBody
FRAN_NP_000079	corporateBody
FRAN_NP_000096	corporateBody
FRAN_NP_000144	corporateBody
FRAN_NP_000165	corporateBody
FRAN_NP_000236	corporateBody
FRAN_NP_000369	corporateBody
FRAN_NP_000745	corporateBody
FRAN_NP_001348	corporateBody
FRAN_NP_002084	corporateBody
FRAN_NP_002099	corporateBody
FRAN_NP_003132	corporateBody
FRAN_NP_003773	corporateBody
FRAN_NP_003774	corporateBody
FRAN_NP_003779	corporateBody
FRAN_NP_003784	corporateBody
FRAN_NP_003907	corporateBody
FRAN_NP_004919	corporateBody
FRAN_NP_004951	corporateBody
FRAN_NP_004952	corporateBody
FRAN_NP_004953	corporateBody
FRAN_NP_004976	corporateBody
FRAN_NP_005061	corporateBody
FRAN_NP_005104	corporateBody
FRAN_NP_005137	corporateBody
FRAN_NP_005288	corporateBody
FRAN_NP_005419	corporateBody
FRAN_NP_005430	corporateBody
FRAN_NP_005439	corporateBody
FRAN_NP_005997	corporateBody
FRAN_NP_006188	corporateBody
FRAN_NP_007222	corporateBody
FRAN_NP_007441	corporateBody
FRAN_NP_007478	corporateBody
FRAN_NP_007780	corporateBody
FRAN_NP_009027	corporateBody
FRAN_NP_009199	person
FRAN_NP_009282	person
FRAN_NP_009283	person
FRAN_NP_009310	corporateBody
FRAN_NP_009504	person
FRAN_NP_009650	corporateBody
FRAN_NP_009912	corporateBody
FRAN_NP_009922	corporateBody
FRAN_NP_009941	person
FRAN_NP_010124	corporateBody
FRAN_NP_010251	corporateBody
FRAN_NP_010252	corporateBody
FRAN_NP_010253	corporateBody
FRAN_NP_010254	corporateBody
FRAN_NP_010255	corporateBody
FRAN_NP_010256	corporateBody
FRAN_NP_010258	corporateBody
FRAN_NP_010259	corporateBody
FRAN_NP_010263	corporateBody
FRAN_NP_010264	corporateBody
FRAN_NP_010265	corporateBody
FRAN_NP_010266	corporateBody
FRAN_NP_010269	corporateBody
FRAN_NP_010270	corporateBody
FRAN_NP_010271	corporateBody
FRAN_NP_010273	corporateBody
FRAN_NP_010274	corporateBody
FRAN_NP_010275	corporateBody
FRAN_NP_010277	corporateBody
FRAN_NP_010278	corporateBody
FRAN_NP_010279	corporateBody
FRAN_NP_010280	corporateBody
FRAN_NP_010282	corporateBody
FRAN_NP_010284	corporateBody
FRAN_NP_010286	corporateBody
FRAN_NP_010308	person
FRAN_NP_010313	person
FRAN_NP_010315	person
FRAN_NP_010319	person
FRAN_NP_010320	person
FRAN_NP_010321	person
FRAN_NP_010322	person
FRAN_NP_010323	person
FRAN_NP_010324	person
FRAN_NP_010325	person
FRAN_NP_010326	person
FRAN_NP_010329	person
FRAN_NP_010330	person
FRAN_NP_010331	person
FRAN_NP_010334	person
FRAN_NP_010337	person
FRAN_NP_010338	person
FRAN_NP_010342	person
FRAN_NP_010344	person
FRAN_NP_010347	person
FRAN_NP_010348	person
FRAN_NP_010350	person
FRAN_NP_010351	person
FRAN_NP_010354	person
FRAN_NP_010357	person
FRAN_NP_010359	person
FRAN_NP_010364	person
FRAN_NP_010367	person
FRAN_NP_010368	person
FRAN_NP_010369	person
FRAN_NP_010373	person
FRAN_NP_010374	person
FRAN_NP_010375	person
FRAN_NP_010376	person
FRAN_NP_010380	person
FRAN_NP_010381	person
FRAN_NP_010382	person
FRAN_NP_010383	person
FRAN_NP_010384	person
